ShortName,z,YSP100,YSPage,merger,morphology,groups,seeing,scale_kpc_arcsec,logLumO3
J0025-10,0.303,yes,"0.02-0.04",yes,"2N-2T","2-3",0.86,4.48,8.73
J0123+00,0.399,yes,"0.001-0.01",yes,"2N-B-[A]","1-2-3",0.73,5.36,9.13
J0217-01,0.375,yes,"0.004-0.007",no,-,"4",0.84,5.16,8.55
J0218-00,0.372,yes,"0.03-0.09",yes,"I-A-[B]","1-2",0.84,5.13,8.85
J0227+01,0.363,yes,"0.03-0.1",yes,"A-2S-T","2",0.66,5.05,8.90
J0234-07,0.310,no,"0.001-0.02",no,,"4",0.98,4.55,8.77
J0249+00,0.408,yes,"0.05-0.1",yes,"S-B","1-2",0.73,5.44,8.63
J0320+00,0.384,yes,"0.005-0.006",yes,"I-[S]","2",0.76,5.23,8.52
J0332-00,0.310,no,"0.001-5",yes,"SN-S-F-[B]","2-3",0.51,4.55,8.50
J0334+00,0.407,yes,"0.04-0.09",yes,"S","2",0.63,5.43,8.61
J0848-01,0.350,no,"0.2-0.4",yes,"2S","2",0.65,4.95,8.56
J0904-00,0.353,yes,"0.006-0.03",yes,"T-S","2",0.53,4.98,8.93
J0923+01,0.386,yes,"0.05-0.1",yes,"S-F-[T]","2",0.66,5.27,8.94
J0924+01,0.380,yes,"0.005-0.02",yes,"T-[B]","2",0.90,5.22,8.59
J0948+00,0.324,no,"0.2-0.3",no,,"4",0.83,4.71,8.52
J2358-00,0.402,yes,"0.04-0.05",yes,"B-T-F","1-2",1.08,5.39,9.32
J0217-00,0.344,yes,"0.04-0.1",yes,"T-I-F","2",0.95,4.88,8.75
J0114+00,0.389,no,"0.004-0.007",yes,"2N-S","2-3",,5.28,8.66
J0142+14,0.389,yes,"0.05-0.1",no,,"4",,5.28,8.76
